Comment,VideoId,VideoUrl
¡Excelente! Muchas gracias. 😃,4R81xy_w9H8,https://www.youtube.com/watch?v=4R81xy_w9H8
P,4R81xy_w9H8,https://www.youtube.com/watch?v=4R81xy_w9H8
Comentario para ayudar con el algoritmo,4R81xy_w9H8,https://www.youtube.com/watch?v=4R81xy_w9H8
"Ya casi una década de este vídeo 😮, como vuela el tiempo!",4R81xy_w9H8,https://www.youtube.com/watch?v=4R81xy_w9H8
"<a href=""UCaVPhFg-Ax873wvhbNitsrQ/BG7YYrTPLsPp8wS0tLSQBA""></a><a href=""UCaVPhFg-Ax873wvhbNitsrQ/BG7YYrTPLsPp8wS0tLSQBA""></a><a href=""UCaVPhFg-Ax873wvhbNitsrQ/BG7YYrTPLsPp8wS0tLSQBA""></a><a href=""UCaVPhFg-Ax873wvhbNitsrQ/BG7YYrTPLsPp8wS0tLSQBA""></a><a href=""UCaVPhFg-Ax873wvhbNitsrQ/BG7YYrTPLsPp8wS0tLSQBA""></a><a href=""UCaVPhFg-Ax873wvhbNitsrQ/BG7YYrTPLsPp8wS0tLSQBA""></a><a href=""UCaVPhFg-Ax873wvhbNitsrQ/BG7YYrTPLsPp8wS0tLSQBA""></a><a href=""UCaVPhFg-Ax873wvhbNitsrQ/BG7YYrTPLsPp8wS0tLSQBA""></a><a href=""UCaVPhFg-Ax873wvhbNitsrQ/BG7YYrTPLsPp8wS0tLSQBA""></a><a href=""UCaVPhFg-Ax873wvhbNitsrQ/BG7YYrTPLsPp8wS0tLSQBA""></a><a href=""UCaVPhFg-Ax873wvhbNitsrQ/BG7YYrTPLsPp8wS0tLSQBA""></a><a href=""UCaVPhFg-Ax873wvhbNitsrQ/BG7YYrTPLsPp8wS0tLSQBA""></a><a href=""UCaVPhFg-Ax873wvhbNitsrQ/BG7YYrTPLsPp8wS0tLSQBA""></a><a href=""UCaVPhFg-Ax873wvhbNitsrQ/BG7YYrTPLsPp8wS0tLSQBA""></a><a href=""UCaVPhFg-Ax873wvhbNitsrQ/BG7YYrTPLsPp8wS0tLSQBA""></a><a href=""UCaVPhFg-Ax873wvhbNitsrQ/BG7YYrTPLsPp8wS0tLSQBA""></a><a href=""UCaVPhFg-Ax873wvhbNitsrQ/BG7YYrTPLsPp8wS0tLSQBA""></a><a href=""UCaVPhFg-Ax873wvhbNitsrQ/BG7YYrTPLsPp8wS0tLSQBA""></a><a href=""UCaVPhFg-Ax873wvhbNitsrQ/BG7YYrTPLsPp8wS0tLSQBA""></a><a href=""UCaVPhFg-Ax873wvhbNitsrQ/BG7YYrTPLsPp8wS0tLSQBA""></a><a href=""UCaVPhFg-Ax873wvhbNitsrQ/BG7YYrTPLsPp8wS0tLSQBA""></a><a href=""UCaVPhFg-Ax873wvhbNitsrQ/BG7YYrTPLsPp8wS0tLSQBA""></a><a href=""UCaVPhFg-Ax873wvhbNitsrQ/BG7YYrTPLsPp8wS0tLSQBA""></a><a href=""UCaVPhFg-Ax873wvhbNitsrQ/BG7YYrTPLsPp8wS0tLSQBA""></a><a href=""UCaVPhFg-Ax873wvhbNitsrQ/BG7YYrTPLsPp8wS0tLSQBA""></a><a href=""UCaVPhFg-Ax873wvhbNitsrQ/BG7YYrTPLsPp8wS0tLSQBA""></a><a href=""UCaVPhFg-Ax873wvhbNitsrQ/BG7YYrTPLsPp8wS0tLSQBA""></a><a href=""UCaVPhFg-Ax873wvhbNitsrQ/BG7YYrTPLsPp8wS0tLSQBA""></a><a href=""UCaVPhFg-Ax873wvhbNitsrQ/BG7YYrTPLsPp8wS0tLSQBA""></a><a href=""UCaVPhFg-Ax873wvhbNitsrQ/BG7YYrTPLsPp8wS0tLSQBA""></a><a href=""UCaVPhFg-Ax873wvhbNitsrQ/BG7YYrTPLsPp8wS0tLSQBA""></a><a href=""UCaVPhFg-Ax873wvhbNitsrQ/BG7YYrTPLsPp8wS0tLSQBA""></a><a href=""UCaVPhFg-Ax873wvhbNitsrQ/BG7YYrTPLsPp8wS0tLSQBA""></a><a href=""UCaVPhFg-Ax873wvhbNitsrQ/BG7YYrTPLsPp8wS0tLSQBA""></a><a href=""UCaVPhFg-Ax873wvhbNitsrQ/BG7YYrTPLsPp8wS0tLSQBA""></a><a href=""UCaVPhFg-Ax873wvhbNitsrQ/BG7YYrTPLsPp8wS0tLSQBA""></a><a href=""UCaVPhFg-Ax873wvhbNitsrQ/BG7YYrTPLsPp8wS0tLSQBA""></a><a href=""UCaVPhFg-Ax873wvhbNitsrQ/BG7YYrTPLsPp8wS0tLSQBA""></a><a href=""UCaVPhFg-Ax873wvhbNitsrQ/BG7YYrTPLsPp8wS0tLSQBA""></a><a href=""UCaVPhFg-Ax873wvhbNitsrQ/BG7YYrTPLsPp8wS0tLSQBA""></a>",4R81xy_w9H8,https://www.youtube.com/watch?v=4R81xy_w9H8
"My nombre es Geraldine Reyes, soy de Bogotá, Colombia y de forma respetuosa te quisiera decir que me encanta tu canal, la ciencia, la geología y la astronomía, incluyendo los videos en los que desmientes muchos mitos. Espero ver muchos mas de estos videos tan interesantes. Gracias.",4R81xy_w9H8,https://www.youtube.com/watch?v=4R81xy_w9H8
Aldo tu eres lindo pero te ves muy diferente con barba...,4R81xy_w9H8,https://www.youtube.com/watch?v=4R81xy_w9H8
Extremadamente interesante. Siempre estaré atento a su información. Gracias.,4R81xy_w9H8,https://www.youtube.com/watch?v=4R81xy_w9H8
1 millon de segundos son 11 días y medio,4R81xy_w9H8,https://www.youtube.com/watch?v=4R81xy_w9H8
"La vidaces rara, escasa y preciosa en el universo",4R81xy_w9H8,https://www.youtube.com/watch?v=4R81xy_w9H8
